,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
541,24,GoIbibo,0.01,2.41
542,25,Google Pay,2079.92,365989.27
543,26,Groww,0.51,335.28
544,27,HDFC Bank Apps,6.95,1981.11
545,28,HSBC Bank Apps,0.1,63.17
546,29,ICICI Bank Apps,37.59,11056.9
547,30,IDBI Bank Apps,0.03,18.48
548,31,IDFC Bank Apps,4.75,626.34
549,32,India Post Payments Bank Apps,3.1,351.88
550,33,Indian Bank Apps,0.16,53.13
551,34,Indian Overseas Bank Apps,0.01,2.35
552,35,IndusInd Bank Apps,1.01,1711.21
553,36,Janata Sahakari Bank Apps,0.01,4.79
554,37,Jio Payments Bank Apps,2.08,127.88
555,38,Jupiter,1.79,215.44
556,39,Jupiter Edge (LivQuick PPI),0.1,5.74
557,40,Karnataka Bank Apps,0.33,40.34
558,41,Karur Vysya Bank Apps,0.04,17.69
559,42,Kotak Mahindra Bank Apps,8.5,1885.0
560,43,MakeMyTrip,0.09,43.26
561,44,MI Pay,0.2,33.9
562,45,Mobikwik,2.46,397.7
563,46,NSDL Payments Bank Apps,0.02,2.39
564,47,Paytm Payments Bank App,887.45,108276.78
565,48,PhonePe,2778.75,511028.81
566,49,Punjab National Bank Apps,0.09,43.77
567,50,Punjab Sind Bank Apps,0.01,6.39
568,51,RBL Bank Apps,0.38,125.39
569,52,Samsung Pay,4.11,490.3
570,53,South Indian Bank Apps,0.14,49.73
571,54,Standard Chartered Bank Apps,0.13,70.48
572,55,State Bank of India Apps,4.18,2195.66
573,56,Tamilnad Mercantile Bank Apps,0.01,1.13
574,57,TataNeu,0.22,30.33
575,58,UCO Bank Apps,0.22,46.39
576,59,Ultracash,0.05,4.4
577,60,Union Bank Apps,0.45,211.85
578,61,Utkarsh Small Finance Bank Apps,0.01,4.43
579,62,WhatsApp,3.48,294.98
580,63,Yes Bank Apps,39.69,11760.16
581,64,YuvaPay,0.04,88.95
582,65,Others,0.03,10.7
583,0,Airtel Payments Bank Apps,8.73,671.09
584,1,Allahabad Bank Apps,0.03,8.98
585,2,Amazon Pay,59.76,5873.36
586,3,Andhra Bank Apps,0.01,1.53
587,4,AU Small Finance Bank Apps,0.53,160.3
588,5,Axis Bank Apps,77.77,1121.24
589,6,Bajaj Finserv,3.9,464.41
590,7,Bandhan Bank Apps,0.01,1.21
591,8,Bank of Baroda Apps,1.26,455.8
592,9,Bank of India Apps,0.2,57.87
593,10,Bank of Maharashtra Apps,0.07,18.29
594,11,BHIM,25.01,8144.83
595,12,Canara Bank Apps,0.86,232.51
596,13,Central Bank of India Apps,0.27,63.31
597,14,Citi Bank Apps,0.13,60.76
598,15,City Union Bank Apps,0.04,12.58
599,16,Cointab,0.03,13.87
600,17,Cred,25.63,18599.72
601,18,DBS Digibank Apps,0.41,169.55
602,19,Deutsche Bank Apps,1.3,104.21
603,20,Dhanlaxmi Bank Apps,0.01,2.75
604,21,Equitas Small Finance Bank Apps,0.02,9.82
